Date,Open,High,Low,Close,Adj Close,Volume
2019-10-22,99.777802,99.777802,99.777802,99.777802,99.777802,0
2019-10-23,99.979301,99.979301,99.979301,99.979301,99.979301,0
2019-10-24,99.793198,99.793198,99.793198,99.793198,99.793198,0
2019-10-25,99.802002,99.802002,99.802002,99.802002,99.802002,0
2019-10-27,null,null,null,null,null,null
2019-10-29,101.532303,101.532303,101.532303,101.532303,101.532303,0
2019-10-30,102.023903,102.023903,102.023903,102.023903,102.023903,0
2019-10-31,102.312698,102.312698,102.312698,102.312698,102.312698,0
2019-11-01,102.424797,102.424797,102.424797,102.424797,102.424797,0
2019-11-04,102.855103,102.855103,102.855103,102.855103,102.855103,0
2019-11-05,102.646400,102.646400,102.646400,102.646400,102.646400,0
2019-11-06,103.065804,103.065804,103.065804,103.065804,103.065804,0
2019-11-07,103.459503,103.459503,103.459503,103.459503,103.459503,0
2019-11-08,102.561600,102.561600,102.561600,102.561600,102.561600,0
2019-11-11,102.600502,102.600502,102.600502,102.600502,102.600502,0
2019-11-13,101.966904,101.966904,101.966904,101.966904,101.966904,0
2019-11-14,102.222702,102.222702,102.222702,102.222702,102.222702,0
2019-11-15,102.424500,102.424500,102.424500,102.424500,102.424500,0
2019-11-18,102.324997,102.324997,102.324997,102.324997,102.324997,0
2019-11-19,102.800499,102.800499,102.800499,102.800499,102.800499,0
2019-11-20,103.305603,103.305603,103.305603,103.305603,103.305603,0
2019-11-21,103.038300,103.038300,103.038300,103.038300,103.038300,0
2019-11-22,102.567200,102.567200,102.567200,102.567200,102.567200,0
2019-11-25,103.937798,103.937798,103.937798,103.937798,103.937798,0
2019-11-26,103.628304,103.628304,103.628304,103.628304,103.628304,0
2019-11-27,104.164703,104.164703,104.164703,104.164703,104.164703,0
2019-11-28,104.589104,104.589104,104.589104,104.589104,104.589104,0
2019-11-29,103.771500,103.771500,103.771500,103.771500,103.771500,0
2019-12-02,103.698097,103.698097,103.698097,103.698097,103.698097,0
2019-12-03,103.232002,103.232002,103.232002,103.232002,103.232002,0
2019-12-04,103.652802,103.652802,103.652802,103.652802,103.652802,0
2019-12-05,103.434097,103.434097,103.434097,103.434097,103.434097,0
2019-12-06,102.598396,102.598396,102.598396,102.598396,102.598396,0
2019-12-09,102.727097,102.727097,102.727097,102.727097,102.727097,0
2019-12-10,102.033096,102.033096,102.033096,102.033096,102.033096,0
2019-12-11,102.487701,102.487701,102.487701,102.487701,102.487701,0
2019-12-12,103.018402,103.018402,103.018402,103.018402,103.018402,0
2019-12-13,104.003601,104.003601,104.003601,104.003601,104.003601,0
2019-12-16,103.713303,103.713303,103.713303,103.713303,103.713303,0
2019-12-17,104.666199,104.666199,104.666199,104.666199,104.666199,0
2019-12-18,105.150902,105.150902,105.150902,105.150902,105.150902,0
2019-12-19,105.481499,105.481499,105.481499,105.481499,105.481499,0
2019-12-20,105.584801,105.584801,105.584801,105.584801,105.584801,0
2019-12-23,105.501602,105.501602,105.501602,105.501602,105.501602,0
2019-12-24,105.087303,105.087303,105.087303,105.087303,105.087303,0
2019-12-26,104.323196,104.323196,104.323196,104.323196,104.323196,0
2019-12-27,105.347900,105.347900,105.347900,105.347900,105.347900,0
2019-12-30,105.428497,105.428497,105.428497,105.428497,105.428497,0
2019-12-31,104.675400,104.675400,104.675400,104.675400,104.675400,0
2020-01-01,104.792503,104.792503,104.792503,104.792503,104.792503,0
2020-01-02,105.647301,105.647301,105.647301,105.647301,105.647301,0
2020-01-03,105.165001,105.165001,105.165001,105.165001,105.165001,0
2020-01-06,103.153702,103.153702,103.153702,103.153702,103.153702,0
2020-01-07,103.661003,103.661003,103.661003,103.661003,103.661003,0
2020-01-08,103.418701,103.418701,103.418701,103.418701,103.418701,0
2020-01-09,105.054604,105.054604,105.054604,105.054604,105.054604,0
2020-01-10,105.400703,105.400703,105.400703,105.400703,105.400703,0
2020-01-13,106.019897,106.019897,106.019897,106.019897,106.019897,0
2020-01-14,106.301804,106.301804,106.301804,106.301804,106.301804,0
2020-01-15,106.137901,106.137901,106.137901,106.137901,106.137901,0
2020-01-16,106.238602,106.238602,106.238602,106.238602,106.238602,0
2020-01-17,106.211098,106.211098,106.211098,106.211098,106.211098,0
2020-01-20,105.108803,105.108803,105.108803,105.108803,105.108803,0
2020-01-21,104.633797,104.633797,104.633797,104.633797,104.633797,0
2020-01-22,104.092102,104.092102,104.092102,104.092102,104.092102,0
2020-01-23,104.729797,104.729797,104.729797,104.729797,104.729797,0
2020-01-24,105.318398,105.318398,105.318398,105.318398,105.318398,0
2020-01-27,104.197998,104.197998,104.197998,104.197998,104.197998,0
2020-01-28,103.649696,103.649696,103.649696,103.649696,103.649696,0
2020-01-29,104.276001,104.276001,104.276001,104.276001,104.276001,0
2020-01-30,103.467400,103.467400,103.467400,103.467400,103.467400,0
2020-01-31,102.828796,102.828796,102.828796,102.828796,102.828796,0
2020-02-03,100.630501,100.630501,100.630501,100.630501,100.630501,0
2020-02-04,102.943298,102.943298,102.943298,102.943298,102.943298,0
2020-02-05,103.884003,103.884003,103.884003,103.884003,103.884003,0
2020-02-06,104.301399,104.301399,104.301399,104.301399,104.301399,0
2020-02-07,103.960297,103.960297,103.960297,103.960297,103.960297,0
2020-02-10,103.384102,103.384102,103.384102,103.384102,103.384102,0
2020-02-11,104.038101,104.038101,104.038101,104.038101,104.038101,0
2020-02-12,104.833298,104.833298,104.833298,104.833298,104.833298,0
2020-02-13,104.602501,104.602501,104.602501,104.602501,104.602501,0
2020-02-14,104.078003,104.078003,104.078003,104.078003,104.078003,0
2020-02-17,103.512703,103.512703,103.512703,103.512703,103.512703,0
2020-02-18,103.046898,103.046898,103.046898,103.046898,103.046898,0
2020-02-19,104.191399,104.191399,104.191399,104.191399,104.191399,0
2020-02-20,103.803001,103.803001,103.803001,103.803001,103.803001,0
2020-02-24,101.638100,101.638100,101.638100,101.638100,101.638100,0
2020-02-25,101.364304,101.364304,101.364304,101.364304,101.364304,0
2020-02-26,100.337196,100.337196,100.337196,100.337196,100.337196,0
2020-02-27,99.942902,99.942902,99.942902,99.942902,99.942902,0
2020-02-28,96.233101,96.233101,96.233101,96.233101,96.233101,0
2020-03-02,95.651703,95.651703,95.651703,95.651703,95.651703,0
2020-03-03,97.143600,97.143600,97.143600,97.143600,97.143600,0
2020-03-04,96.693802,96.693802,96.693802,96.693802,96.693802,0
2020-03-05,96.859001,96.859001,96.859001,96.859001,96.859001,0
2020-03-06,94.458900,94.458900,94.458900,94.458900,94.458900,0
2020-03-09,89.869797,89.869797,89.869797,89.869797,89.869797,0
2020-03-11,89.917999,89.917999,89.917999,89.917999,89.917999,0
2020-03-12,82.488098,82.488098,82.488098,82.488098,82.488098,0
2020-03-13,85.576698,85.576698,85.576698,85.576698,85.576698,0
2020-03-16,78.983704,78.983704,78.983704,78.983704,78.983704,0
2020-03-17,76.933197,76.933197,76.933197,76.933197,76.933197,0
2020-03-18,72.635201,72.635201,72.635201,72.635201,72.635201,0
2020-03-19,70.915298,70.915298,70.915298,70.915298,70.915298,0
2020-03-20,75.047302,75.047302,75.047302,75.047302,75.047302,0
2020-03-23,65.410896,65.410896,65.410896,65.410896,65.410896,0
2020-03-24,67.021400,67.021400,67.021400,67.021400,67.021400,0
2020-03-25,71.320297,71.320297,71.320297,71.320297,71.320297,0
2020-03-26,74.045097,74.045097,74.045097,74.045097,74.045097,0
2020-03-27,74.184303,74.184303,74.184303,74.184303,74.184303,0
2020-03-30,70.971497,70.971497,70.971497,70.971497,70.971497,0
2020-03-31,73.645103,73.645103,73.645103,73.645103,73.645103,0
2020-04-01,70.703903,70.703903,70.703903,70.703903,70.703903,0
2020-04-03,69.251099,69.251099,69.251099,69.251099,69.251099,0
2020-04-07,75.280197,75.280197,75.280197,75.280197,75.280197,0
2020-04-08,74.885399,74.885399,74.885399,74.885399,74.885399,0
2020-04-09,77.996300,77.996300,77.996300,77.996300,77.996300,0
2020-04-13,76.991997,76.991997,76.991997,76.991997,76.991997,0
2020-04-15,76.399101,76.399101,76.399101,76.399101,76.399101,0
2020-04-16,76.984802,76.984802,76.984802,76.984802,76.984802,0
2020-04-17,79.332703,79.332703,79.332703,79.332703,79.332703,0
2020-04-20,79.275002,79.275002,79.275002,79.275002,79.275002,0
2020-04-21,76.876404,76.876404,76.876404,76.876404,76.876404,0
2020-04-22,78.634697,78.634697,78.634697,78.634697,78.634697,0
2020-04-23,79.709396,79.709396,79.709396,79.709396,79.709396,0
2020-04-24,78.343399,78.343399,78.343399,78.343399,78.343399,0
2020-04-27,79.440300,79.440300,79.440300,79.440300,79.440300,0
2020-04-28,80.282501,80.282501,80.282501,80.282501,80.282501,0
2020-04-29,81.759903,81.759903,81.759903,81.759903,81.759903,0
2020-04-30,84.367897,84.367897,84.367897,84.367897,84.367897,0
2020-05-04,79.519997,79.519997,79.519997,79.519997,79.519997,0
2020-05-05,78.765099,78.765099,78.765099,78.765099,78.765099,0
2020-05-06,79.322899,79.322899,79.322899,79.322899,79.322899,0
2020-05-07,78.706200,78.706200,78.706200,78.706200,78.706200,0
2020-05-08,79.146202,79.146202,79.146202,79.146202,79.146202,0
2020-05-11,79.035400,79.035400,79.035400,79.035400,79.035400,0
2020-05-12,78.678001,78.678001,78.678001,78.678001,78.678001,0
2020-05-13,80.270599,80.270599,80.270599,80.270599,80.270599,0
2020-05-14,78.209503,78.209503,78.209503,78.209503,78.209503,0
2020-05-15,78.156898,78.156898,78.156898,78.156898,78.156898,0
2020-05-18,75.476303,75.476303,75.476303,75.476303,75.476303,0
2020-05-19,75.950203,75.950203,75.950203,75.950203,75.950203,0
2020-05-20,77.542099,77.542099,77.542099,77.542099,77.542099,0
2020-05-21,77.865402,77.865402,77.865402,77.865402,77.865402,0
2020-05-22,77.296303,77.296303,77.296303,77.296303,77.296303,0
2020-05-26,77.206200,77.206200,77.206200,77.206200,77.206200,0
2020-05-27,79.640602,79.640602,79.640602,79.640602,79.640602,0
2020-05-28,81.121803,81.121803,81.121803,81.121803,81.121803,0
2020-05-29,81.954803,81.954803,81.954803,81.954803,81.954803,0
2020-06-01,84.066101,84.066101,84.066101,84.066101,84.066101,0
2020-06-02,85.378799,85.378799,85.378799,85.378799,85.378799,0
2020-06-03,86.103798,86.103798,86.103798,86.103798,86.103798,0
2020-06-04,85.820900,85.820900,85.820900,85.820900,85.820900,0
2020-06-05,86.789101,86.789101,86.789101,86.789101,86.789101,0
2020-06-08,87.000397,87.000397,87.000397,87.000397,87.000397,0
2020-06-09,85.962196,85.962196,85.962196,85.962196,85.962196,0
2020-06-10,86.558197,86.558197,86.558197,86.558197,86.558197,0
2020-06-11,84.728104,84.728104,84.728104,84.728104,84.728104,0
2020-06-12,85.333199,85.333199,85.333199,85.333199,85.333199,0
2020-06-15,83.971298,83.971298,83.971298,83.971298,83.971298,0
2020-06-16,84.821503,84.821503,84.821503,84.821503,84.821503,0
2020-06-17,84.537399,84.537399,84.537399,84.537399,84.537399,0
2020-06-18,86.337799,86.337799,86.337799,86.337799,86.337799,0
2020-06-19,87.665802,87.665802,87.665802,87.665802,87.665802,0
2020-06-22,88.230797,88.230797,88.230797,88.230797,88.230797,0
2020-06-23,89.599602,89.599602,89.599602,89.599602,89.599602,0
2020-06-24,88.179703,88.179703,88.179703,88.179703,88.179703,0
2020-06-25,88.032997,88.032997,88.032997,88.032997,88.032997,0
2020-06-26,88.830803,88.830803,88.830803,88.830803,88.830803,0
2020-06-29,88.226303,88.226303,88.226303,88.226303,88.226303,0
2020-06-30,88.135399,88.135399,88.135399,88.135399,88.135399,0
2020-07-01,89.236603,89.236603,89.236603,89.236603,89.236603,0
2020-07-02,90.318802,90.318802,90.318802,90.318802,90.318802,0
2020-07-03,90.789902,90.789902,90.789902,90.789902,90.789902,0
2020-07-06,92.130997,92.130997,92.130997,92.130997,92.130997,0
2020-07-07,92.433403,92.433403,92.433403,92.433403,92.433403,0
2020-07-08,91.634003,91.634003,91.634003,91.634003,91.634003,0
2020-07-09,92.631104,92.631104,92.631104,92.631104,92.631104,0
2020-07-10,92.239700,92.239700,92.239700,92.239700,92.239700,0
2020-07-13,92.540398,92.540398,92.540398,92.540398,92.540398,0
2020-07-14,90.867401,90.867401,90.867401,90.867401,90.867401,0
2020-07-15,90.959801,90.959801,90.959801,90.959801,90.959801,0
2020-07-16,92.007896,92.007896,92.007896,92.007896,92.007896,0
2020-07-17,93.395401,93.395401,93.395401,93.395401,93.395401,0
2020-07-20,94.420502,94.420502,94.420502,94.420502,94.420502,0
2020-07-21,95.611198,95.611198,95.611198,95.611198,95.611198,0
2020-07-22,95.347198,95.347198,95.347198,95.347198,95.347198,0
2020-07-23,96.070099,96.070099,96.070099,96.070099,96.070099,0
2020-07-24,95.883499,95.883499,95.883499,95.883499,95.883499,0
2020-07-27,95.349899,95.349899,95.349899,95.349899,95.349899,0
2020-07-28,96.796898,96.796898,96.796898,96.796898,96.796898,0
2020-07-29,95.965202,95.965202,95.965202,95.965202,95.965202,0
2020-07-30,95.116096,95.116096,95.116096,95.116096,95.116096,0
2020-07-31,94.874496,94.874496,94.874496,94.874496,94.874496,0
2020-08-03,93.317200,93.317200,93.317200,93.317200,93.317200,0
2020-08-04,95.055000,95.055000,95.055000,95.055000,95.055000,0
2020-08-05,95.133202,95.133202,95.133202,95.133202,95.133202,0
2020-08-06,95.995300,95.995300,95.995300,95.995300,95.995300,0
2020-08-07,96.115799,96.115799,96.115799,96.115799,96.115799,0
2020-08-10,96.595703,96.595703,96.595703,96.595703,96.595703,0
2020-08-11,97.042297,97.042297,97.042297,97.042297,97.042297,0
2020-08-12,96.917397,96.917397,96.917397,96.917397,96.917397,0
2020-08-13,96.890701,96.890701,96.890701,96.890701,96.890701,0
2020-08-14,95.842796,95.842796,95.842796,95.842796,95.842796,0
2020-08-17,96.431000,96.431000,96.431000,96.431000,96.431000,0
2020-08-18,97.611900,97.611900,97.611900,97.611900,97.611900,0
2020-08-19,97.816704,97.816704,97.816704,97.816704,97.816704,0
2020-08-20,96.986801,96.986801,96.986801,96.986801,96.986801,0
2020-08-21,97.496201,97.496201,97.496201,97.496201,97.496201,0
2020-08-24,98.306000,98.306000,98.306000,98.306000,98.306000,0
2020-08-25,98.352898,98.352898,98.352898,98.352898,98.352898,0
2020-08-26,99.037201,99.037201,99.037201,99.037201,99.037201,0
2020-08-27,99.118797,99.118797,99.118797,99.118797,99.118797,0
2020-08-28,99.875099,99.875099,99.875099,99.875099,99.875099,0
2020-08-31,97.640999,97.640999,97.640999,97.640999,97.640999,0
2020-09-01,98.351402,98.351402,98.351402,98.351402,98.351402,0
2020-09-02,98.918297,98.918297,98.918297,98.918297,98.918297,0
2020-09-03,98.852798,98.852798,98.852798,98.852798,98.852798,0
2020-09-04,97.194702,97.194702,97.194702,97.194702,97.194702,0
2020-09-07,97.371902,97.371902,97.371902,97.371902,97.371902,0
2020-09-08,97.045898,97.045898,97.045898,97.045898,97.045898,0
2020-09-09,96.712997,96.712997,96.712997,96.712997,96.712997,0
2020-09-10,98.175903,98.175903,98.175903,98.175903,98.175903,0
2020-09-11,98.303802,98.303802,98.303802,98.303802,98.303802,0
2020-09-14,98.097801,98.097801,98.097801,98.097801,98.097801,0
2020-09-15,98.796501,98.796501,98.796501,98.796501,98.796501,0
2020-09-16,99.505600,99.505600,99.505600,99.505600,99.505600,0
2020-09-17,98.745598,98.745598,98.745598,98.745598,98.745598,0
2020-09-18,98.649803,98.649803,98.649803,98.649803,98.649803,0
2020-09-21,96.466003,96.466003,96.466003,96.466003,96.466003,0
2020-09-22,95.635300,95.635300,95.635300,95.635300,95.635300,0
